Mission control, 0-16bar press transducer			Rig room, 0-16 bar pressure transducer			Upper inj Port (17,7), 0-2.5bar transducer			Fault port (5,3), 0-2.5bar transducer			Fault port (5,7) 0-2.5 bar transducer			Lower inj Port (9,3), -1-2.5bar transducer			Pres port (15,5), 0-6 bar transducer			Fault port (5,3) 0-100 bar transducer			Pres port (15,5), 0-4 bar transducer			Pres port (17,11), 0-100 bar transducer			Pres port (17,11), 0-4 bar transducer		
SN:0645176			SN:0821118			SN:0622287			SN:0411237			SN:0646302			SN:0646297			SN:0443429			SN:0746654			SN:0523525			SN:0746565			SN:0342612		
Time/s	Pressure/bar	Temperature/°C	Time/s	Pressure/bar	Temperature/°C	Time/s	Pressure/bar	Temperature/°C	Time/s	Pressure/bar	Temperature/°C	Time/s	Pressure/bar	Temperature/°C	Time/s	Pressure/bar	Temperature/°C	Time/s	Pressure/bar	Temperature/°C	Time/s	Pressure/bar	Temperature/°C	Time/s	Pressure/bar	Temperature/°C	Time/s	Pressure/bar	Temperature/°C	Time/s	Pressure/bar	Temperature/°C
0	0	22.4	0.3	0	22.9	0.3	0	25.3	0.5	0	21.8	0.5	-0.0001	22.4	0.5	0	22.1	0.8	-0.0002	24.3	0.8	0	21.8	1	-0.0001	22.5	1	0.0001	22.4	1.3	-0.0001	22.3
1.3	0.0004	22.4	1.5	0.0001	22.9	1.3	0	25.3	1.5	-0.0001	21.8	1.8	-0.0001	22.4	1.8	0	22.1	2.1	-0.0001	24.3	1.5	0	21.8	2.3	0	22.5	1.8	0.0001	22.4	2.6	-0.0001	22.3
2.6	0.0002	22.4	3.9	0	22.9	2.6	0	25.3	2.8	-0.0001	21.8	3.3	-0.0001	22.4	3.1	0	22.1	3.3	-0.0003	24.3	3.3	0	21.8	3.8	-0.0001	22.5	3.9	0.0001	22.4	3.1	0	22.4
3.9	0.0001	22.5	3.9	0	22.9	3.9	0	25.3	4.6	-0.0001	21.8	3.9	-0.0001	22.4	4.9	0	22.1	4.1	-0.0002	24.3	5.2	0.0001	21.8	4.4	-0.0001	22.5	5.2	0	22.4	5.2	0.0001	22.3
5.2	-0.0001	22.4	5.2	0	22.9	5.2	0	25.3	6	0	21.8	5.2	0	22.4	6	0	22.1	5.8	-0.0003	24.3	6	0	21.8	5.5	0.0001	22.5	5.8	0.0001	22.4	6.5	-0.0001	22.3
6.5	0.0001	22.5	6.5	0	22.9	6.5	0	25.3	6.8	0	21.8	7.1	0	22.4	7.1	0	22.1	7.8	-0.0003	24.3	7.3	0.0001	21.8	7	0	22.5	7	0	22.4	7.6	-0.0001	22.3
7.8	0.0003	22.5	7.8	0	22.9	7.8	0	25.3	8.1	-0.0001	21.8	8.4	0	22.4	8.4	0	22.1	8.6	-0.0002	24.3	8.4	0	21.8	9.1	-0.0001	22.5	8.4	0.0001	22.4	8.9	-0.0001	22.3
9.1	0.0003	22.5	10.2	0	22.9	9.1	0	25.3	9.4	-0.0001	21.8	10.2	-0.0001	22.4	10.2	0	22.1	10.4	0	24.3	10.2	0.0001	21.8	9.9	-0.0001	22.5	10.2	0	22.4	9.7	0.0001	22.3
10.4	0.0002	22.5	11.2	0.0001	22.9	10.4	0	25.3	10.7	0	21.8	10.4	-0.0001	22.4	11.2	0	22.1	11.7	0	24.3	11	0.0001	21.8	11	-0.0001	22.5	11.5	0.0001	22.4	11.2	-0.0001	22.3
11.7	0	22.4	12	0	22.9	11.7	0	25.3	12.2	0	21.8	12	0	22.4	12.2	0	22.1	12.5	-0.0001	24.3	12.5	0	21.8	13	-0.0001	22.5	12	-0.0001	22.4	12.8	0	22.3
13	0.0003	22.4	13	0	22.9	13	0	25.3	13.8	0	21.8	14.3	0	22.4	13.8	0	22.1	14.1	-0.0003	24.3	13.3	-0.0001	21.8	13.5	-0.0001	22.5	14.3	-0.0001	22.4	13.3	-0.0001	22.3
14.3	0.0003	22.4	14.3	0.0001	22.9	14.3	0	25.3	14.6	0	21.8	14.8	-0.0001	22.4	14.6	0	22.1	15.6	0	24.3	15.4	0.0001	21.8	14.8	0	22.5	15.4	0	22.4	15.3	-0.0002	22.3
15.6	-0.0001	22.4	15.6	0	22.9	15.6	0	25.3	15.9	-0.0001	21.8	16.4	0	22.4	16.4	0	22.1	16.9	0.0002	24.3	16.4	0.0001	21.8	16.7	0	22.5	16.4	0.0001	22.4	16.1	-0.0002	22.4
16.9	0	22.4	17.3	0.0001	22.9	17.3	0	25.3	17.5	0	21.8	17.3	-0.0001	22.4	17.5	0	22.1	17.3	-0.0002	24.3	18.3	-0.0001	21.8	18.3	-0.0002	22.5	18.3	-0.0002	22.4	17.8	-0.0002	22.3
18.3	0.0004	22.4	18.3	0	22.9	18.3	0	25.3	19.4	0	21.8	18.3	-0.0001	22.4	18.7	0	22.1	18.9	0.0001	24.3	19.7	-0.0001	21.8	18.7	-0.0002	22.5	18.9	0.0001	22.4	19.2	-0.0001	22.3
19.7	0.0002	22.4	20.5	0.0001	22.9	19.7	0	25.3	20.8	0	21.8	20.2	-0.0001	22.4	19.7	0	22.1	20.2	0.0002	24.3	20.8	-0.0001	21.8	20	-0.0002	22.5	20.2	-0.0001	22.4	20.5	-0.0004	22.3
21	0.0002	22.4	21	0.0001	22.9	21	0	25.3	22.3	-0.0001	21.8	22.3	-0.0001	22.4	22.3	0	22.1	21.8	0	24.3	21.3	0	21.8	21.3	-0.0001	22.5	22.1	0.0001	22.4	22.1	-0.0002	22.3
22.3	0.0003	22.5	22.3	0.0001	22.9	22.3	0	25.3	23.1	0	21.8	22.3	-0.0001	22.4	22.3	0	22.1	23.4	0	24.3	22.3	-0.0001	21.8	22.8	-0.0001	22.5	22.8	-0.0001	22.4	23.6	0	22.3
23.6	0.0001	22.4	23.6	0	22.9	23.9	0	25.3	24.7	0	21.8	24.1	-0.0001	22.4	23.9	0	22.1	23.9	0	24.3	24.9	0	21.8	24.1	-0.0002	22.5	23.6	0	22.4	24.9	-0.0001	22.3
24.9	-0.0001	22.4	26.2	0.0001	22.9	24.9	0	25.3	25.2	-0.0001	21.8	25.7	-0.0001	22.4	25.2	0	22.1	25.4	-0.0001	24.3	26	0.0001	21.8	25.7	-0.0001	22.5	26.2	0.0001	22.4	26	0	22.3
26.2	0.0002	22.4	26.5	0.0001	22.9	26.2	0	25.3	26.5	0	21.8	27	-0.0001	22.4	26.5	0	22.1	27.5	0	24.3	27.3	-0.0001	21.8	27.3	-0.0001	22.5	26.7	0.0001	22.4	27	-0.0001	22.3
27.5	0	22.4	28	0	22.9	27.5	0	25.3	27.8	0	21.8	28.6	-0.0001	22.4	28.6	0	22.1	28.6	-0.0001	24.3	28.8	0.0001	21.8	28.3	0	22.5	28.6	-0.0001	22.4	28.8	-0.0001	22.3
28.8	0.0003	22.4	29.1	0	22.9	28.8	0	25.3	29.1	-0.0001	21.8	29.9	0	22.4	28.8	0	22.1	29.9	-0.0001	24.3	29.3	0	21.8	29.6	-0.0001	22.5	29.9	0.0001	22.4	30.2	-0.0003	22.3
